pred_costs,real_costs
0.227,1.184274
0.614,1.572725
0.401,1.419437
1.323,4.404646
0.173,1.221733
0.96,2.71657
0.212,1.295375
0.146,1.109822
0.17,1.137383
0.331,1.33996
0.46,1.802438
0.255,1.393098
0.2,1.279373
0.735,1.741941
1.111,3.605787
0.3415,1.493332
0.205,1.338019
0.392,2.130741
0.633,2.404111
0.458,1.514113
0.7765,2.836611
0.186,1.191484
0.161,1.055632
0.315,1.536044
0.158,1.306641
0.162,1.192152
0.183,1.191449
0.401,1.02468
0.263,1.027553
0.137,1.05728
0.102,1.100352
0.0985,1.097868
0.085,1.171236
0.11,1.144102
0.122,1.138635
0.127,1.073184
0.1095,1.087933
0.061,1.102775
0.087,1.075731
0.074,1.073592
0.051,1.044742
0.049,1.02927
0.078,1.070194
0.076,1.15942
0.081,1.101684
0.051,1.099791
0.077,1.054641
0.054,1.029579
0.046,1.060393
0.043,1.02111
0.045,1.018092
